Ctype,ILI POSITIVE,SEASON,STATE_NAME,WEEK,lm,p_sim,p_z_sim,sig_clust,sig_clust_gen,z_sim
3,0.004003856,2015-16,California,40,0.119043017,0.497,0.308249528,0,0,0.500818227
3,0.007600144,2015-16,Idaho,40,0.004235996,0.2464,0.238356872,0,0,0.711598004
3,0,2015-16,Nevada,40,0.177893934,0.4143,0.298101518,0,0,0.529868603
3,0,2015-16,Oregon,40,0.041283039,0.3471,0.445183325,0,0,0.137840279
3,0.005388545,2015-16,Washington,40,0.074838543,0.0001,0.310305675,3,0,0.49498409
3,0,2015-16,Arizona,40,0.24686114,0.4851,0.304232216,0,0,0.512266608
1,0.044197615,2015-16,Arkansas,40,0.366788639,0.2354,0.324083967,0,0,0.456308804
3,0.002014584,2015-16,Colorado,40,0.182548052,0.0001,0.237260437,3,3,0.715142694
3,0,2015-16,Iowa,40,0.064795753,0.4883,0.367662927,0,0,0.338049543
4,0.037350612,2015-16,Kansas,40,-0.615955568,0.4149,0.302204583,0,4,-0.51807038
1,0.017790038,2015-16,Louisiana,40,0.78514295,0.0875,0.040827424,0,1,1.741163932
3,0.002687459,2015-16,Minnesota,40,0.126515303,0.2109,0.20721615,0,0,0.816118611
2,0,2015-16,Missouri,40,-0.541649611,0.0433,0.014954045,2,0,-2.17130547
3,0,2015-16,Montana,40,0.123235215,0.4434,0.352361756,0,3,0.378951996
2,0,2015-16,Nebraska,40,-0.171806135,0.233,0.282378088,0,0,-0.575791415
3,0,2015-16,New Mexico,40,0.24686114,0.4835,0.304711597,0,2,0.510896983
3,0,2015-16,North Dakota,40,0.209621296,0.3041,0.272914622,0,3,0.604021655
2,0.007121489,2015-16,Oklahoma,40,-0.091483479,0.0037,2.43E-05,2,2,-4.06224058
3,0,2015-16,South Dakota,40,0.224199806,0.1384,0.208112147,0,3,0.812989125
4,0.05333664,2015-16,Texas,40,-0.115096843,0.2375,0.498858234,0,0,0.002861986
3,0,2015-16,Utah,40,0.218157505,0.2474,0.257455765,0,3,0.651209081
3,0,2015-16,Wyoming,40,0.214547692,0.2578,0.264024713,0,3,0.630986386
1,0.077403625,2015-16,Alabama,40,2.941124167,0.0814,0.042916578,0,0,1.717799706
3,0.00335181,2015-16,Connecticut,40,0.094854439,0.1291,0.164281808,0,0,0.977011183
3,0,2015-16,Delaware,40,0.212753179,0.0213,0.102671636,3,0,1.266474446
3,0,2015-16,District of Columbia,40,0.226417209,0.0191,0.203993282,3,0,0.827442034
2,0,2015-16,Florida,40,-0.716472682,0.0768,0.066169197,0,0,-1.504944314
1,0.03017608,2015-16,Georgia,40,1.251388626,0.0527,0.018883382,0,0,2.077377138
4,0.018509965,2015-16,Illinois,40,-0.334126276,0.0569,0.171600389,0,0,-0.947859908
3,0,2015-16,Indiana,40,0.023702087,0.4266,0.455389558,0,0,0.11205586
3,0.0011608,2015-16,Kentucky,40,0.063967042,0.4829,0.363992777,0,0,0.347806439
3,0,2015-16,Maine,40,0.163924271,0.3097,0.24588647,0,0,0.687491682
3,0,2015-16,Maryland,40,0.22654315,0.0193,0.197990098,3,0,0.84882227
4,0.009168976,2015-16,Massachusetts,40,-0.038601695,0.0573,0.146229048,0,0,-1.052744525
4,0.012442262,2015-16,Michigan,40,-0.043449452,0.2686,0.444953365,0,0,-0.13842223
1,0.015325776,2015-16,Mississippi,40,1.039922762,0.0013,7.83E-06,1,0,4.319059689
3,0,2015-16,New Hampshire,40,0.151927383,0.2319,0.216474734,0,0,0.784154485
3,0,2015-16,New Jersey,40,0.19168351,0.0387,0.085186576,3,0,1.371005789
3,0.002177202,2015-16,New York,40,0.127636066,0.0819,0.107039632,0,3,1.242426445
3,0.006269438,2015-16,North Carolina,40,0.025725543,0.326,0.254097811,0,0,0.661649895
3,0.002832752,2015-16,Ohio,40,0.143647776,0.026,0.104421917,3,0,1.256750947
3,0.003527712,2015-16,Pennsylvania,40,0.113012667,0.0207,0.064745001,3,0,1.516116085
3,0,2015-16,Rhode Island,40,0.114253812,0.3315,0.27952076,0,0,0.584265768
2,0,2015-16,South Carolina,40,-0.187066107,0.2043,0.258234517,0,0,-0.648797871
2,0.007125804,2015-16,Tennessee,40,-0.038222409,0.0432,0.015865775,2,0,-2.147776065
3,0.002447709,2015-16,Vermont,40,0.126165881,0.1372,0.179942029,0,0,0.915586036
3,0,2015-16,Virginia,40,0.202488197,0.0403,0.093455543,3,0,1.319772202
3,0,2015-16,West Virginia,40,0.200509178,0.0434,0.096773364,3,0,1.300158274
3,0.005498023,2015-16,Wisconsin,40,0.021956761,0.4407,0.393391151,0,0,0.270491308
4,0.01190236,2015-16,California,41,-0.099719353,0.0001,0.232089524,4,0,-0.731982831
3,0.007160577,2015-16,Idaho,41,0.094047532,0.3194,0.258216838,0,0,0.648852567
3,0,2015-16,Nevada,41,0.19380641,0.4389,0.346959729,0,0,0.393541664
3,0.007562935,2015-16,Oregon,41,0.003139642,0.3993,0.492322351,0,0,0.019246201
4,0.012196461,2015-16,Washington,41,-0.028494238,0.3921,0.434150582,0,0,-0.165816749
3,0,2015-16,Arizona,41,0.537788343,0.3748,0.225140861,0,0,0.754945435
1,0.024018755,2015-16,Arkansas,41,0.44256202,0.1662,0.169244521,0,0,0.957154969
2,0.004403988,2015-16,Colorado,41,-0.116379754,0.2804,0.349148046,0,0,-0.387621586
2,0.005231772,2015-16,Iowa,41,-0.058000295,0.3102,0.35399818,0,0,-0.374548392
4,0.033141415,2015-16,Kansas,41,-0.180705662,0.4495,0.448312629,0,0,-0.12992564
1,0.013965875,2015-16,Louisiana,41,0.432174266,0.0422,0.015427828,1,0,2.158929258
3,0.009599986,2015-16,Minnesota,41,0.016665297,0.1296,0.144904176,0,0,1.058542135
1,0.010361766,2015-16,Missouri,41,0.017474193,0.0821,0.061672066,0,0,1.54088765
2,0,2015-16,Montana,41,-0.387142615,0.1837,0.229185809,0,0,-0.741530877
1,0.016442681,2015-16,Nebraska,41,0.102088138,0.2859,0.339083349,0,0,0.414966131
3,0,2015-16,New Mexico,41,0.537788343,0.3795,0.228252284,0,2,0.744614882
3,0,2015-16,North Dakota,41,0.314598222,0.3207,0.263176533,0,0,0.633582896
2,0,2015-16,Oklahoma,41,-1.565607744,0.0032,0.00011479,2,2,-3.684024353
3,0,2015-16,South Dakota,41,0.073094749,0.4889,0.414867206,0,0,0.215042206
4,0.065512045,2015-16,Texas,41,-2.971131979,0.0001,0.209080327,4,0,-0.809616446
3,0,2015-16,Utah,41,0.432510734,0.1782,0.194087171,0,0,0.862932934
4,0.027769611,2015-16,Wyoming,41,-0.740321758,0.1947,0.216232218,0,4,-0.784981465
1,0.04478742,2015-16,Alabama,41,1.760869114,0.0901,0.077389112,0,0,1.422854897
4,0.03020715,2015-16,Connecticut,41,-0.905037685,0.0034,0.044074296,4,4,-1.705245793
3,0,2015-16,Delaware,41,0.328942133,0.0528,0.087328165,0,0,1.35739313
3,0,2015-16,District of Columbia,41,0.384748703,0.0759,0.167043322,0,0,0.965915142
3,0,2015-16,Florida,41,0.280491709,0.4342,0.34364457,0,0,0.402536625
2,0.004803765,2015-16,Georgia,41,-0.173234004,0.1545,0.155245176,0,0,-1.014193664
1,0.01952046,2015-16,Illinois,41,0.11410362,0.2954,0.351104547,0,0,0.382340127
4,0.0243256,2015-16,Indiana,41,-0.080628562,0.4743,0.453691166,0,0,-0.116340951
2,0,2015-16,Kentucky,41,-0.237380383,0.2117,0.234416681,0,0,-0.724378556
