STATE,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,SEASON,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alabama,2015,40,167,2,3,2.99,1.2,1.8,Level 1,Minimal,Oct-10-2015,2015-16,2.58875,272,28,10507
Alaska,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.627353,10,7,1594
Arizona,2015,40,55,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.23609,290,52,23461
Arkansas,2015,40,26,0,1,3.85,0,3.85,Level 1,Minimal,Oct-10-2015,2015-16,1.14799,46,14,4007
California,2015,40,683,2,0,0.29,0.29,0,Level 1,Minimal,Oct-10-2015,2015-16,1.38064,558,125,40416
Colorado,2015,40,255,0,1,0.39,0,0.39,Level 1,Minimal,Oct-10-2015,2015-16,0.51656,17,5,3291
Connecticut,2015,40,304,1,0,0.33,0.33,0,Level 1,Minimal,Oct-10-2015,2015-16,1.0157,55,17,5415
Delaware,2015,40,22,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.0994777,4,16,4021
Florida,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,X,X,X,X
Georgia,2015,40,518,6,5,2.12,1.16,0.97,Level 3,Minimal,Oct-10-2015,2015-16,1.4234,385,30,27048
Hawaii,2015,40,234,23,2,10.68,9.83,0.85,Level 1,Minimal,Oct-10-2015,2015-16,2.33303,51,20,2186
Idaho,2015,40,11,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.404263,11,8,2721
Illinois,2015,40,266,3,0,1.13,1.13,0,Level 1,Minimal,Oct-10-2015,2015-16,1.63805,833,80,50853
Indiana,2015,40,97,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.923388,64,31,6931
Iowa,2015,40,61,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.433735,9,9,2075
Kansas,2015,40,90,2,1,3.33,2.22,1.11,Level 1,Minimal,Oct-10-2015,2015-16,1.12164,90,35,8024
Kentucky,2015,40,205,1,0,0.49,0.49,0,Level 1,Minimal,Oct-10-2015,2015-16,0.236898,57,24,24061
Louisiana,2015,40,306,1,2,0.98,0.33,0.65,Level 1,Minimal,Oct-10-2015,2015-16,1.81531,804,73,44290
Maine,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.1742,67,28,5706
Maryland,2015,40,27,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.09231,82,32,7507
Massachusetts,2015,40,259,1,2,1.16,0.39,0.77,Level 1,Minimal,Oct-10-2015,2015-16,0.790429,185,44,23405
Michigan,2015,40,492,9,0,1.83,1.83,0,Level 1,Minimal,Oct-10-2015,2015-16,0.679905,164,66,24121
Minnesota,2015,40,220,1,0,0.45,0.45,0,Level 1,Minimal,Oct-10-2015,2015-16,0.597213,36,17,6028
Mississippi,2015,40,140,1,0,0.71,0.71,0,Level 1,Minimal,Oct-10-2015,2015-16,2.15856,428,53,19828
Missouri,2015,40,432,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.11897,87,17,7775
Montana,2015,40,91,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.129618,4,8,3086
Nebraska,2015,40,38,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.428878,12,16,2798
Nevada,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.62855,83,28,13205
New Hampshire,2015,40,21,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.0828672,4,22,4827
New Jersey,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.896943,98,23,10926
New Mexico,2015,40,182,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.971393,109,26,11221
New York,2015,40,1095,4,0,0.37,0.37,0,Level 1,Minimal,Oct-10-2015,2015-16,0.588433,70,80,11896
North Carolina,2015,40,133,0,1,0.75,0,0.75,Level 1,Minimal,Oct-10-2015,2015-16,0.835925,129,48,15432
North Dakota,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.60652,8,9,1319
Ohio,2015,40,382,0,2,0.52,0,0.52,Level 1,Minimal,Oct-10-2015,2015-16,0.54476,97,67,17806
Oklahoma,2015,40,131,1,0,0.76,0.76,0,Level 1,Minimal,Oct-10-2015,2015-16,0.937038,57,28,6083
Oregon,2015,40,139,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.609618,27,15,4429
Pennsylvania,2015,40,364,0,1,0.27,0,0.27,Level 1,Minimal,Oct-10-2015,2015-16,1.30656,203,54,15537
Rhode Island,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.110072,6,16,5451
South Carolina,2015,40,152,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.539773,19,11,3520
South Dakota,2015,40,134,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.981962,92,34,9369
Tennessee,2015,40,103,0,1,0.97,0,0.97,Level 1,Minimal,Oct-10-2015,2015-16,0.734619,72,53,9801
Texas,2015,40,1129,6,13,1.68,0.53,1.15,Level 1,Minimal,Oct-10-2015,2015-16,3.1748,1016,126,32002
Utah,2015,40,335,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.05777,206,44,19475
Vermont,2015,40,91,0,1,1.1,0,1.1,Level 1,Minimal,Oct-10-2015,2015-16,0.222519,5,7,2247
Virginia,2015,40,156,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.33996,1197,128,89331
Washington,2015,40,245,3,0,1.22,1.22,0,Level 1,Minimal,Oct-10-2015,2015-16,0.441684,32,47,7245
West Virginia,2015,40,327,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.02553,184,50,17942
Wisconsin,2015,40,681,1,1,0.29,0.15,0.15,Level 1,Minimal,Oct-10-2015,2015-16,1.89587,134,23,7068
Wyoming,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,0.418318,19,21,4542
Puerto Rico,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,3.35556,156,8,4649
Virgin Islands,2015,40,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-10-2015,2015-16,1.11421,4,1,359
New York City,2015,40,0,0,0,0,0,0,Level 1,Minimal,Oct-10-2015,2015-16,1.23738,1259,87,101747
Alabama,2015,41,167,2,1,1.8,1.2,0.6,Level 1,Minimal,Oct-17-2015,2015-16,2.48819,258,28,10369
