ID	
1	 1	0
1	 2	0.1696662
1	 3	0.47112794
1	 4	0.47112794
1	 5	0.47112794
1	 6	0.47112794
1	 7	0.47112794
1	 8	0.47112794
1	 9	0.47112794
1	 10	0.47112794
1	 11	0.47112794
1	 12	0.47112794
1	 13	0.47112794
1	 14	0.47112794
1	 15	0.47112794
1	 16	0.47112794
1	 17	0.47112794
1	 18	0.47112794
1	 19	0.80733101
1	 20	0.3475566
1	 21	0.3475566
1	 22	0.3475566
1	 23	0.3475566
1	 24	0.3475566
1	 25	0.3475566
1	 26	0.3475566
1	 27	0.3475566
1	 28	0.4040778
1	 29	0.4040778
1	 30	0.4040778
1	 31	0.4040778
1	 32	0.4040778
1	 33	0.4040778
1	 34	0.4040778
2	 1	0.1696662
2	 2	0
2	 3	0.454481
2	 4	0.454481
2	 5	0.454481
2	 6	0.454481
2	 7	0.454481
2	 8	0.454481
2	 9	0.454481
2	 10	0.454481
2	 11	0.454481
2	 12	0.454481
2	 13	0.454481
2	 14	0.454481
2	 15	0.454481
2	 16	0.454481
2	 17	0.454481
2	 18	0.454481
2	 19	0.1755216
2	 20	0.16820082
2	 21	0.16820082
2	 22	0.16820082
2	 23	0.16820082
2	 24	0.16820082
2	 25	0.16820082
2	 26	0.16820082
2	 27	0.16820082
2	 28	0.48368859
2	 29	0.48368859
2	 30	0.48368859
2	 31	0.48368859
2	 32	0.48368859
2	 33	0.48368859
2	 34	0.48368859
3	 1	0.47112794
3	 2	0.454481
3	 3	0
3	 4	0
3	 5	0
3	 6	0
3	 7	0
3	 8	0
3	 9	0
3	 10	0
3	 11	0
3	 12	0
3	 13	0
3	 14	0
3	 15	0
3	 16	0
3	 17	0
3	 18	0
3	 19	0.66551144
3	 20	0.47991188
3	 21	0.47991188
3	 22	0.47991188
3	 23	0.47991188
3	 24	0.47991188
3	 25	0.47991188
3	 26	0.47991188
3	 27	0.47991188
3	 28	0.48824604
3	 29	0.48824604
3	 30	0.48824604
3	 31	0.48824604
3	 32	0.48824604
3	 33	0.48824604
3	 34	0.48824604
4	 1	0.47112794
4	 2	0.454481
4	 3	0
4	 4	0
4	 5	0
4	 6	0
4	 7	0
4	 8	0
4	 9	0
4	 10	0
4	 11	0
4	 12	0
4	 13	0
4	 14	0
4	 15	0
4	 16	0
4	 17	0
4	 18	0
4	 19	0.66551144
4	 20	0.47991188
4	 21	0.47991188
4	 22	0.47991188
4	 23	0.47991188
4	 24	0.47991188
4	 25	0.47991188
4	 26	0.47991188
4	 27	0.47991188
4	 28	0.48824604
4	 29	0.48824604
4	 30	0.48824604
4	 31	0.48824604
4	 32	0.48824604
4	 33	0.48824604
4	 34	0.48824604
5	 1	0.47112794
5	 2	0.454481
5	 3	0
5	 4	0
5	 5	0
5	 6	0
5	 7	0
5	 8	0
5	 9	0
5	 10	0
5	 11	0
5	 12	0
5	 13	0
5	 14	0
5	 15	0
5	 16	0
5	 17	0
5	 18	0
5	 19	0.66551144
5	 20	0.47991188
5	 21	0.47991188
5	 22	0.47991188
5	 23	0.47991188
5	 24	0.47991188
5	 25	0.47991188
5	 26	0.47991188
5	 27	0.47991188
5	 28	0.48824604
5	 29	0.48824604
5	 30	0.48824604
5	 31	0.48824604
5	 32	0.48824604
5	 33	0.48824604
5	 34	0.48824604
6	 1	0.47112794
6	 2	0.454481
6	 3	0
6	 4	0
6	 5	0
6	 6	0
6	 7	0
6	 8	0
6	 9	0
6	 10	0
6	 11	0
6	 12	0
6	 13	0
6	 14	0
6	 15	0
6	 16	0
6	 17	0
6	 18	0
6	 19	0.66551144
6	 20	0.47991188
6	 21	0.47991188
6	 22	0.47991188
6	 23	0.47991188
6	 24	0.47991188
6	 25	0.47991188
6	 26	0.47991188
6	 27	0.47991188
6	 28	0.48824604
6	 29	0.48824604
6	 30	0.48824604
6	 31	0.48824604
6	 32	0.48824604
6	 33	0.48824604
6	 34	0.48824604
7	 1	0.47112794
7	 2	0.454481
7	 3	0
7	 4	0
7	 5	0
7	 6	0
7	 7	0
7	 8	0
7	 9	0
7	 10	0
7	 11	0
7	 12	0
7	 13	0
7	 14	0
7	 15	0
7	 16	0
7	 17	0
